"CODCIU","NOMCIU","PROVINCIA","STATUS","Region"
1,Quito,1,A,2.0
2,Guayaquil,1,A,2.0
3,Cuenca,2,A,2.0
4,Manta,,,
5,Tulcan,,,
6,Ibarra,,,
7,Otavalo,,,
8,Machachi,,,
9,Latacunga,,,
10,Ambato,,,
11,Riobamba,,,
12,Loja,,,
13,Esmeraldas,,,
14,Quininde,,,
15,El Carmen,,,
17,Quevedo,,,
18,Babahoyo,,,
19,Milagro,,,
20,Alluriquin,,,
21,Atacames,,,
22,Chone,,,
23,La Concordia,,,
24,El Coca,,,
25,El Esfuerzo,,,
26,El Empalme,,,
27,Flavio Alfaro,,,
28,La Man�,,,
29,La Uni�n,,,
30,Muisne,,,
31,Lago Agrio,,,
32,Nuevo Israel,,,
33,Patricia  Pilar,,,
34,Pedernales,,,
35,Pedro. V. Maldonado,,,
36,Portoviejo,,,
37,Puerto Lim�n,,,
38,Quinsaloma,,,
39,Rio Verde,,,
40,San Lorenzo,,,
41,Shushufindi,,,
42,Tandapi,,,
43,Tonsupa,,,
44,Tosagua,,,
45,Viche,,,
46,Santo Domingo,,,
