"Codigo","Nombre","Modelo","Descripcion","Pcosto","Pventa","PMayor","Pordes","Porpro","Grupo","Familia","Marca","Feuling","Feulve","Observaciones","Status","Exiact","Id","Propietario","Minimo","Idereg","Costor","Invini","Proveedor","Ultmov","Bodega","Nombod","Ventas","Compras","Apos","Aneg"
AD103,ESPEJOS DE DIFERENTES TAMA�OS,"","",140.0,300.0,0.0,0.0,0.0,ADORNOS,ADORNOS ,"",2016-08-04 00:00:00.000,2016-12-08 00:00:00.000,"",A,0.0,6716,ANGELA LARREA,0.0,1,140.0,0.0,MUEBLES CONQUISTADOR,2016-12-08 00:00:00.000,1,D ROSIE,6.0,6.0,0.0,0.0
AD104,MACETERO CON PLANTA NATURAL,"","",150.0,380.0,0.0,0.0,0.0,ADORNOS,ADORNOS ,"",2019-10-09 00:00:00.000,2019-09-30 00:00:00.000,"",A,1.0,6797,ANGELA LARREA,0.0,1,150.0,0.0,GRETTIS ,2019-09-30 00:00:00.000,1,D ROSIE,7.0,8.0,0.0,0.0
AD105,CUADROS METALICOS,"","",60.0,120.0,0.0,0.0,0.0,ADORNOS,ADORNOS ,"",2016-12-28 00:00:00.000,2016-12-28 00:00:00.000,YO COMPRE EN MICHAELS EN ESTADOS UNIDOIS,A,0.0,7137,ANGELA LARREA,0.0,1,60.0,0.0,IMPORTADORA FEDERAL S.A.,2016-12-28 00:00:00.000,1,D ROSIE,3.0,3.0,0.0,0.0
ALG103,ALFOMBRA B5 GRANDE,"","",158.0,380.0,0.0,0.0,0.0,ALFOMBRAS GRANDES,ALFOMBRAS ,"",2014-11-19 00:00:00.000,2015-05-31 00:00:00.000,"",A,0.0,6367,ANGELA LARREA,0.0,1,158.0,0.0,ALFOMBRAS SAN ANDRES,2015-05-31 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALM100,ALFOMBRA ANTIALERGICA VISCOSE  SHAGGY A2,"1.60*1.40",CHOCOLATE CON BEIGE,175.0,350.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,CABRERA,,2011-10-24 00:00:00.000,"",A,0.0,305,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O ANGEL EDUARDO,2011-10-24 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALM101,A2 ALFOMBRA ANTIALERGICA VISCOSE  SHAGGY S / ,"1.60*1.40","BLANCO,TERRACOTA,CHOCOLATE Y ABANO",0.0,0.0,0.0,1.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,CABRERA,2012-06-12 00:00:00.000,,"",A,0.0,307,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O ANGEL EDUARDO,2012-06-12 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALM102,ALFOMBRA ANTIALERGICA  LUXURY NEGRO CON BEIGE C3,"1.60*1.15","",105.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,1204,ANGELA LARREA,0.0,1,85.0,0.0,CABRERA PATI�O,2013-04-03 00:00:00.000,1,D ROSIE,2.0,2.0,0.0,0.0
ALM103,ALFOMBRA ANTIALERGICA  LUXURY R1,"1.40*2.00",NARANJA MATIZADO,106.25,350.0,0.0,1.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,CABRERA,2014-06-18 00:00:00.000,2014-04-30 00:00:00.000,"",A,1.0,1222,ANGELA LARREA,0.0,1,125.0,1.0,CABRERA PATI�O ANGEL EDUARDO,2014-06-18 00:00:00.000,1,D ROSIE,3.0,3.0,0.0,0.0
ALM104,ALFOMBRA LUXURYMEDIANA NARANJA 141 ,"1.40*2.00","",175.0,350.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,CABRERA,2014-09-09 00:00:00.000,2014-10-31 00:00:00.000,"",A,0.0,1254,ANGELA LARREA,0.0,1,175.0,0.0,CABRERA PATI�O ANGEL EDUARDO,2014-10-31 00:00:00.000,1,D ROSIE,3.0,3.0,0.0,0.0
ALM106,ALFOMBRA T2 MEDIANA,"","",138.0,380.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2014-11-19 00:00:00.000,2014-11-25 00:00:00.000,"",A,0.0,6275,ANGELA LARREA,0.0,1,138.0,0.0,ALFOMBRAS SAN ANDRES,2014-11-25 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALM107,ALFOMBRA PLAIN RED MEDIANA,"","",118.0,380.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2017-08-10 00:00:00.000,2017-07-27 00:00:00.000,"",A,2.0,6361,ANGELA LARREA,0.0,1,118.0,0.0,ALFOMBRAS SAN ANDRES,2017-07-27 00:00:00.000,1,D ROSIE,7.0,9.0,0.0,0.0
ALM109,ALFOMBRA 41154  ORANGE MEDIANA ,"","",138.0,320.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2014-11-19 00:00:00.000,2014-12-13 00:00:00.000,"",A,0.0,6365,ANGELA LARREA,0.0,1,138.0,0.0,ALFOMBRAS SAN ANDRES,2014-12-13 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALM110,ALFOMBRA 40300N MEDIANA,"","",138.0,380.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2015-01-15 00:00:00.000,2016-07-31 00:00:00.000,"",A,0.0,6433,ANGELA LARREA,0.0,1,138.0,0.0,ALFOMBRAS SAN ANDRES,2016-07-31 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALM111,ALFOMBRA B5 MEDIANA ,"","",138.0,380.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2015-01-15 00:00:00.000,2015-08-17 00:00:00.000,"",A,0.0,6436,ANGELA LARREA,0.0,1,138.0,0.0,ALFOMBRAS SAN ANDRES,2015-08-17 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALM112,ALFOMBRA T2 MEDIANA,"","",118.0,250.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2017-08-10 00:00:00.000,2018-01-16 00:00:00.000,"",A,0.0,7342,ANGELA LARREA,0.0,1,118.0,0.0,ALFOMBRAS SAN ANDRES,2018-01-16 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALM113,ALFOMBRA 500N MEDIANA,"","",115.0,230.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2018-03-14 00:00:00.000,,"",A,1.0,7620,ANGELA LARREA,0.0,1,115.0,0.0,ALFOMBRAS SAN ANDRES,2018-03-14 00:00:00.000,1,D ROSIE,0.0,1.0,0.0,0.0
ALM114,ALFOMBRA 41154 MEDIANA,"","",115.0,230.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2018-03-14 00:00:00.000,,"",A,1.0,7622,ANGELA LARREA,0.0,1,115.0,0.0,ALFOMBRAS SAN ANDRES,2018-03-14 00:00:00.000,1,D ROSIE,0.0,1.0,0.0,0.0
ALM118,ALFOMBRA 17T0 MEDIANO,"","",90.0,200.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2018-08-29 00:00:00.000,2019-10-22 00:00:00.000,"",A,0.0,7796,ANGELA LARREA,0.0,1,90.0,0.0,ALFOMBRAS SAN ANDRES,2019-10-22 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALM119,ALFOMBRA 41154N MEDIANA,"","",90.0,200.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2018-08-29 00:00:00.000,,"",A,1.0,7798,ANGELA LARREA,0.0,1,90.0,0.0,ALFOMBRAS SAN ANDRES,2018-08-29 00:00:00.000,1,D ROSIE,0.0,1.0,0.0,0.0
ALM120,ALFOMBRA B1 MEDIANA,"","",90.0,200.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2018-08-29 00:00:00.000,2019-04-27 00:00:00.000,"",A,0.0,7800,ANGELA LARREA,0.0,1,90.0,0.0,ALFOMBRAS SAN ANDRES,2019-04-27 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALM121,ALFOMBRA C1 MEDIANA,"","",90.0,200.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2018-08-29 00:00:00.000,,"",A,1.0,7802,ANGELA LARREA,0.0,1,90.0,0.0,ALFOMBRAS SAN ANDRES,2018-08-29 00:00:00.000,1,D ROSIE,0.0,1.0,0.0,0.0
ALM122,ALFOMBRA 72423 ORANGE,"","",80.0,160.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",,,"",A,0.0,7880,ANGELA LARREA,0.0,1,,0.0,ALFOMBRAS SAN ANDRES,,1,D ROSIE,0.0,0.0,0.0,0.0
ALM123,ALFOMBRA 43326 BROWN TURQUISIN ,"","",110.0,240.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2020-01-28 00:00:00.000,2020-01-28 00:00:00.000,"",A,1.0,8097,ANGELA LARREA,0.0,1,110.0,0.0,ALFOMBRAS SAN ANDRES,2020-01-28 00:00:00.000,1,D ROSIE,3.0,4.0,0.0,0.0
ALM124,ALFOMBRA 42 VIZON BROWN,"","",90.0,230.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2020-02-12 00:00:00.000,2019-09-14 00:00:00.000,"",A,2.0,8147,ANGELA LARREA,0.0,1,80.0,0.0,ALFOMBRAS SAN ANDRES,2020-02-12 00:00:00.000,1,D ROSIE,3.0,5.0,0.0,0.0
ALM125,ALFOMBRA 43551 TURQUESA MEDIANA,"","",110.0,200.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2019-07-13 00:00:00.000,2019-07-13 00:00:00.000,"",A,0.0,8294,ANGELA LARREA,0.0,1,110.0,0.0,ALFOMBRAS SAN ANDRES,2019-07-13 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALM126,ALFOMBRA CB2 MEDIANA ,"","",110.0,280.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,"",2019-10-31 00:00:00.000,2019-10-31 00:00:00.000,"",A,0.0,8439,ANGELA LARREA,0.0,1,110.0,0.0,ALFOMBRAS SAN ANDRES,2019-10-31 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALP100,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY SPD-003,"1.60*1.15","COLOR TOMATE,BLANCO,CAFE CLARO ",125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,240,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O ANGEL EDUARDO,2012-02-04 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP102,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 1409,"1.60*1.15",MECHITAS DE TIGRE,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,244,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2013-11-28 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP103,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 146,"1.60*1.15",AMARILLA TIERRA ,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,246,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2012-07-21 00:00:00.000,1,D ROSIE,2.0,1.0,0.0,
ALP104,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 167,"1.40*2.00",TERRACOTA  PURA,175.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,249,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2012-04-11 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP105,ALFOMBRA ANTIALERGICA  CARPETS LUXURY SHAGGY 1418,"1.60*1.15",MECHITAS BEIGE CON NEGRO,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,251,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2011-08-29 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP106,ALFOMBRA ANTIALERGICA CARPETS 177,"1.60*1.15",CELESTE OPACO PURO,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,253,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2012-03-20 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,
ALP107,ALFOMBRA ANTIALERGICA CARPETS B-1,"1.60*1.15","CHICOLATE,BEIGE Y ABANO",125.0,280.0,0.0,2.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2013-11-28 00:00:00.000,2013-07-19 00:00:00.000,"",A,1.0,255,ANGELA LARREA,0.0,1,125.0,2.0,CABRERA PATI�O,2013-11-28 00:00:00.000,1,D ROSIE,5.0,4.0,0.0,0.0
ALP108,ALFOMBRA ANTIALERGICA CARPETS VISCOSE SHAGGY 172,"1.60*1.15",ABANA PURA,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,257,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2015-05-21 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP109,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 167 ,"1.60*1.15","TERRACOTA,BLANCO Y CHOCOLATE",125.0,280.0,0.0,2.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,259,ANGELA LARREA,0.0,1,125.0,3.0,CABRERA PATI�O,2019-02-12 00:00:00.000,1,D ROSIE,4.0,1.0,0.0,0.0
ALP110,ALFOMBRA ANTIALERGICA VICOSE SHAGGY 144,"1.60*1.15",VERDE,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,261,ANGELA LARREA,0.0,1,125.0,3.0,CABRERA PATI�O,2015-08-29 00:00:00.000,1,D ROSIE,3.0,0.0,0.0,0.0
ALP111,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY SPD-003,"1.60*1.15","CHOCOLATE, BLANCA Y TOMATE",125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,263,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2011-12-06 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP112,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 58,"1.60*1.15",BLANCA PURA,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,265,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2011-10-24 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP113,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 1410,"1.60*1.15",MECHITAS ROJAS,125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,267,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2012-03-20 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,
ALP114,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY SPD-001,"1.60*1.15","ABANA,TERRACOTA Y CHOCOLATE",125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,269,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2011-08-01 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP115,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 142,"1.60*1.15",CAFE OSCURA PURA,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",I,0.0,271,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2014-03-01 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
