"Codigo","Nombre","Modelo","Descripcion","Pcosto","Pventa","PMayor","Pordes","Porpro","Grupo","Familia","Marca","Feuling","Feulve","Observaciones","Status","Exiact","Id","Propietario","Minimo","Idereg","Costor","Invini","Proveedor","Ultmov","Bodega","Nombod","Ventas","Compras","Apos","Aneg"
AD102,COJINES MICROFIBRA,"","",7.0,15.0,0.0,0.0,0.0,ADORNOS,ADORNOS ,"",2012-07-21 00:00:00.000,2012-12-18 00:00:00.000,"",A,5.0,2183,ANGELA LARREA,0.0,1,7.0,0.0,EDISON GUACHICHULCA,2012-12-18 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
ALG100,ALFOMBRA SUPER SHAGGY  GRAMDE VISCOSE CHOCOLATE CON BEIGE,"2.00* 2.00","",250.0,400.0,0.0,0.0,0.0,ALFOMBRAS GRANDES,ALFOMBRAS ,CABRERA,,2012-02-04 00:00:00.000,"",A,0.0,235,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,2012-02-04 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALM100,ALFOMBRA ANTIALERGICA VISCOSE  SHAGGY A2,"1.60*1.40",CHOCOLATE CON BEIGE,175.0,350.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,CABRERA,,2011-10-24 00:00:00.000,"",A,0.0,305,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O ANGEL EDUARDO,2011-10-24 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALM101,A2 ALFOMBRA ANTIALERGICA VISCOSE  SHAGGY S / ,"1.60*1.40","BLANCO,TERRACOTA,CHOCOLATE Y ABANO",0.0,0.0,0.0,1.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,CABRERA,2012-06-12 00:00:00.000,,"",A,0.0,307,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O ANGEL EDUARDO,2012-06-12 00:00:00.000,1,D ROSIE,0.0,0.0,0.0,0.0
ALM102,ALFOMBRA ANTIALERGICA  LUXURY NEGRO CON BEIGE C3,"1.60*1.15","",125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",A,1.0,1204,ANGELA LARREA,0.0,1,125.0,0.0,CABRERA PATI�O,2011-07-27 00:00:00.000,1,D ROSIE,0.0,1.0,0.0,0.0
ALM103,ALFOMBRA ANTIALERGICA  LUXURY R1,"1.40*2.00",NARANJA MATIZADO,106.25,350.0,0.0,1.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,CABRERA,2012-09-05 00:00:00.000,,"",A,2.0,1222,ANGELA LARREA,0.0,1,125.0,1.0,CABRERA PATI�O ANGEL EDUARDO,2012-09-05 00:00:00.000,1,D ROSIE,0.0,1.0,0.0,0.0
ALM104,ALFOMBRA LUXURYMEDIANA NARANJA 141 ,"1.40*2.00","",175.0,350.0,0.0,0.0,0.0,ALFOMBRAS MEDIANAS,ALFOMBRAS ,CABRERA,2012-06-12 00:00:00.000,2012-07-21 00:00:00.000,"",A,0.0,1254,ANGELA LARREA,0.0,1,175.0,0.0,CABRERA PATI�O ANGEL EDUARDO,2012-07-21 00:00:00.000,1,D ROSIE,1.0,1.0,0.0,0.0
ALP100,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY SPD-003,"1.60*1.15","COLOR TOMATE,BLANCO,CAFE CLARO ",125.0,280.0,0.0,0.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,2012-02-04 00:00:00.000,"",A,0.0,240,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O ANGEL EDUARDO,2012-02-04 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,0.0
ALP101,ALFOMBRA ANTIALERGICAVISCOSE SHAGGY 1408,"1.60*1.15",MECHITAS DE TIGRE CAFE,125.0,280.0,0.0,,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,2012-03-20 00:00:00.000,,"",A,0.0,242,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O ANGEL EDUARDO,2012-03-20 00:00:00.000,1,D ROSIE,1.0,0.0,0.0,
ALP102,ALFOMBRA ANTIALERGICA VISCOSE SHAGGY 1409,"1.60*1.15",MECHITAS DE TIGRE,125.0,280.0,0.0,1.0,0.0,ALFOMBRAS PEQUE�AS,ALFOMBRAS ,CABRERA,,,"",A,1.0,244,ANGELA LARREA,0.0,1,,1.0,CABRERA PATI�O,,1,D ROSIE,0.0,0.0,0.0,0.0
