"codban","nomban","tipban","status","Contacto","Mail","Telefono","telefono1"
1,PICHINCHA,1,A,,,,
2,GUAYAQUIL,1,A,,,,
3,INTERNACIONAL,1,A,,,,
4,PRODUBANCO,1,A,,,,
5,DEPOSITO BANCARIO,1,A,,,,
6,PACIFICO,1,A,,,,
7,BOLIVARIANO,1,A,,,,
8,MM. JARAMILLO ARTEAGA,1,A,,,,
9,LOS ANDES,1,A,,,,
10,SUDAMERICANO,1,A,,,,
11,COMERCIAL MANABI,1,A,,,,
12,AUSTRO,1,A,,,,
13,DINNERS,2,A,,,,
14,PACIFICARD,2,A,,,,
15,MASTERCARD,2,A,,,,
16,FOMENTO,0,A,SR MAIZ,-,"123456",
17,AMAZONAS,0,A,,,,
18,RUMI�AHUI,1,A,,,,
19,PROCREDIT,0,A,,,,
20,MACHALA,0,A,,,,
21,LOJA,0,A,,,,
22,LETRA DE CAMBIO,0,A,,,,
23,SOLIDARIO,0,A,,,,
24,PROMERICA,0,A,,,,
25,BANCO DEL LITORAL,1,A,xx.,,,
26,CUOTAFACIL,2,A,-,-,-,-
27,AMERICAN EXPRESS,2,A,,,,
28,VISA,2,A,,,,
29,FOMENTO,0,A,-,-,-,-
30,PROCREDIT,0,A,,,,
31,BANCO DEL BARRIO,1,A,,,,
