"DESGRUP","STATUS","codgrup","Famgrup","Secuencial","Siglas"
COMEDORES,A,3,MUEBLES DE COMEDOR ,307.0,COM
SALAS,A,4,MUEBLES PARA SALONES ,542.0,SAL
BUFETEROS,A,5,MUEBLES DE COMEDOR ,131.0,BF
CAMAS,A,6,CAMAS - COLCHONES ,304.0,CA
SEMANEROS,A,7,HABITACIONES ADULTOS  ,130.0,SE
ROPEROS ,A,8,HABITACIONES ADULTOS  ,130.0,RP
MODULAR COMPUTADORA,A,9,MUEBLES DE OFICINA  ,103.0,MD
MODULARES DE TV,A,10,MUEBLES PARA SALONES ,174.0,MTV
VELADORES,A,11,HABITACIONES ADULTOS  ,122.0,VE
COMODAS,A,12,HABITACIONES ADULTOS  ,134.0,CO
CONSOLAS,A,13,ACCESORIOS PARA SALAS ,118.0,CON
TELA MICROFIBRA,A,14,TELAS ,581.0,TM
ALFOMBRAS PEQUE�AS,A,15,ALFOMBRAS ,287.0,ALP
ALFOMBRAS MEDIANAS,A,16,ALFOMBRAS ,127.0,ALM
ALFOMBRAS GRANDES,A,17,ALFOMBRAS ,104.0,ALG
CUADROS,A,18,CUADROS ,105.0,CU
COQUETAS,A,19,HABITACIONES ADULTOS  ,132.0,CQ
ADORNOS,A,20,ADORNOS ,106.0,AD
DECORACION CERAMICA,A,21,DECORACION ,109.0,DC
DECORACION MADERA,A,22,DECORACION ,108.0,DM
DECORACION  MODERNA PROVEEDORES ,A,23,DECORACION ,554.0,DMP
COLCHONES,A,24,CAMAS - COLCHONES ,135.0,CL
MESAS DE CENTRO,A,25,MUEBLES PARA SALONES ,130.0,MS
BARES,A,26,MUEBLES PARA SALONES ,114.0,BA
PIE DE CAMA,A,27,CAMAS - COLCHONES ,108.0,PC
VITRINAS,A,28,MUEBLES PARA SALONES ,109.0,VI
ESQUINEROS,A,29,MUEBLES PARA SALONES ,103.0,ES
APARADORES,A,30,MUEBLES DE COMEDOR ,113.0,AP
VESTIDORES,A,31,HABITACIONES ADULTOS  ,108.0,VS
MESAS ESQUINERAS,A,32,MUEBLES PARA SALONES ,105.0,MQ
SILLAS SUELTAS,A,33,MUEBLES DE COMEDOR ,103.0,SL
BASE DE COMEDOR EN X CON VIDRIO DE CORAZON,A,34,MUEBLES DE COMEDOR ,102.0,BC
ANAQUELES DE COCINA BLANCO,A,35,MUEBLES DE COCINA ,104.0,AN
COPERO ,A,36,MUEBLES DE COMEDOR ,104.0,CP
TELEFONERAS,A,37,MUEBLES PARA SALONES ,102.0,TL
LIBREROS ,A,38,MUEBLES DE OFICINA  ,107.0,LI
CUNAS,A,39,CAMAS - COLCHONES ,102.0,CU
MECEDORA,A,40,MUEBLES PARA SALONES ,103.0,MC
LITERAS,A,41,HABITACIONES NI�OS ,106.0,LT
MUEBLES DE NI�O,A,42,HABITACIONES NI�OS ,104.0,MN
RECIBIDOR,A,43,RECIBIDORES ,113.0,RC
VIDRIOS DE MESA DE COMEDOR,A,44,VIDRIOS DE MESA DE COMEDOR ,106.0,VD
TABLEROS DE COMEDOR BRILLOSO,A,46,MUEBLES DE COMEDOR ,104.0,TB
BASES DE COMEDOR MILAGRO,A,47,MUEBLES DE COMEDOR ,101.0,BC
SEPARADORES DE AMBIENTE,A,48,DECORACION ,102.0,SA
ESCRITORIOS,A,1,MUEBLES DE OFICINA  ,107.0,ESC
SILLAS,A,2,MUEBLES DE OFICINA,108.0,SILL
RETAPIZADOS VARIOS EN GENERAL,A,49,SERVICIOS VARIOS ,103.0,RV
