"codveh","nomvh","Status","CODMAR"
AD01,Audi 82,A,AD
AU1,Morris,A,AU
Av,Aveo,A,CH
CH01,Super Carry,A,CH
CH02,Chevy Taxi,A,CH
CH03,Todos Chevrolet,A,CH
CH04,Corsa,A,CH
CH05,Corsa Win,A,CH
CH06,Evolution 3 PTS.,A,CH
CH07,Evolution 5 PTS.,A,CH
CH08,Forza I,A,CH
CH09,Forza II,A,CH
CH10,Gemini,A,CH
CH11,Gemini 1.5,A,CH
CH12,Gemini 1.3,A,CH
CH13,Grand Vitara,A,CH
CH14,Monza,A,CH
CH15,Rodeo,A,CH
CH16,San Remo,A,CH
CH17,Spark,A,CH
CH18,Steem,A,CH
CH19,Swift,A,CH
CH20,Trooper,A,CH
CH21,Blazer ck 10.20.20.30,A,CH
CH22,D-Max,A,CH
CH23,Vitara 5p,A,CH
CH24,Vitara 3P,A,CH
CH25,Isuzu 1.6,A,AU
CH26,Isuzu 1.8,A,CH
CH27,Isuzu 2.0,A,CH
CH28,Luv 2.3,A,CH
DH01,Todos Daihatsu,A,DH
DH03,Rocky,A,DH
DT01,Todos Datsun,A,DT
DW01,Cielo,A,DW
DW02,Todos Daewoo,A,DW
DW03,Espero,A,DW
DW04,Espero 96,A,DW
DW05,Lanos,A,DW
DW06,Lanos I 2003,A,DW
DW07,Lanos II 2003,A,DW
DW08,Lanos I - II 2003,A,DW
DW09,Matiz,A,DW
DW10,Matiz I 2004,A,DW
DW11,Matiz II 2004,A,DW
DW12,Pride,A,DW
DW13,Racer,A,DW
DW14,Racer 94,A,DW
DW15,Tico,A,DW
DW16,Tico I 2004,A,DW
DW17,Tico II 2004,A,DW
FD01,Festiva,A,FD
FD02,TODOS FORD,A,FD
FD03,Fiesta,A,FD
FD04,Van Diesel1.6/1.8,A,FD
FI01,TODOS FIAT,A,FI
FI02,FIAT 127,A,FI
FI03,FIAT UNO,A,FI
FI04,FIORINO,A,FI
FI05,MILLE,A,FI
FI06,PALIO,A,FI
FI07,PICK UP,A,FI
FI08,PREMIO,A,FI
FI09,SPAZIO,A,FI
FI10,Fiat 128,A,FI
HN01,CIVIC,A,HN
HN02,TODOS HONDA,A,HN
HY01,ACCENT,A,HY
HY02,ACCENT 1.3 94-99,A,HY
HY03,ACCENT 1.5,A,HY
HY035,Atos,A,HY
HY04,ACCENT 1.5 94-99,A,HY
HY05,ACCENT 12 VALV.,A,HY
HY06,ACCENT 1500,A,HY
HY07,ACCENT 94-99,A,HY
HY08,ACCENT 99,A,HY
HY09,ATOS HASTA 2003,A,HY
HY10,ATOS HASTA 2005,A,HY
HY11,ELANTRA,A,HY
HY12,ELANTRA 93,A,HY
HY13,ELANTRA 95-99,A,HY
HY14,EXCEL,A,HY
HY15,EXCEL 1.3,A,HY
HY16,EXCEL 86-96,A,HY
HY17,EXCEL 94,A,HY
HY18,EXCEL 94-99,A,HY
HY19,EXCEL 95,A,HY
HY20,GETZ,A,HY
HY21,H100 DIESEL 2003-2004,A,HY
HY22,H100 DIESEL 93-94,A,HY
HY23,H100 GASOLINA,A,HY
HY24,H100 GASOLINA 2003-2004,A,HY
HY25,TODOS HYUNDAI,A,HY
HY26,MATRIX,A,HY
HY27,PONY,A,HY
HY28,SONATA,A,HY
HY29,VERNA,A,HY
HY30,VERNA 2003-2006,A,HY
HY31,VERNA 2004,A,HY
HY32,VERNA 1600,A,HY
HY33,VERNA HASTA 2002,A,HY
HY34,VERNA HASTA 2006,A,HY
HY35,Getz,A,HY
K12,Picanto,A,KI
KI01,TODOS LOS MODELOS,A,KI
KI02,PREGGIO,A,KI
KI03,PREGGIO 2003,A,KI
KI04,RIO,A,KI
KI05,RIO 2003,A,KI
KI06,RIO 98-2000,A,KI
KI07,RIO PRICE,A,KI
KI08,RIO STYLUS,A,KI
KI09,SPECTRA,A,KI
KI10,SPECTRA 2003,A,KI
KI11,STYLUS 2003,A,KI
LD01,LADA 1600,A,LD
LD02,LADA 2101,A,LD
LD03,LADA 2104,A,LD
LD04,LADA 2105,A,LD
LD05,LADA 2106,A,LD
LD06,LADA 2110,A,LD
LD07,LADA 2110,A,LD
LD08,LADA 2111,A,LD
LD09,LADA 2112,A,LD
LD10,LADA 2113,A,LD
LD11,LADA 2114,A,LD
LD12,LADA 2115,A,LD
LD13,LADA TODO MODELO,A,LD
LD14,LADA 2101/4/5/6/7,A,LD
MI-05,Lancer 92/97 nac.,A,MT
MT01,CORDIA,A,MT
MT02,ECLIPSE,A,MT
MT03,GALANT,A,MT
MT04,LANCER,A,MT
MT05,TODOS LOS MODELOS,A,MT
MZ01,MAZDA 323,A,MZ
MZ02,MAZDA B2600,A,MZ
MZ03,CAMIONETA,A,MZ
MZ04,MAZDA TODO MODELO,A,MZ
MZ05,ALEGRO,A,MZ
NS01,TODOS LOS MODELOS,A,NS
NS02,PRIMERA,A,NS
NS03,SENTRA,A,NS
