"Contro","Canti","Costo","Nommarca"
���,0.0,0.0,
"000",349.0,110.23,
"210",10895.0,55863.029999999984,
"211",1088.0,25404.830000000005,
"212",1020.0,7604.94,
"230",0.0,0.0,
"3.7",202.0,157.56,
A-1,13.0,76.05,
APE,5904.0,93901.51000000002,
ATP,3552.0,20527.66,
AV-,4712.0,59793.21000000002,
BAI,584.0,7196.85,
BH-,2208.0,23424.52,
CDI,1009.0,28765.789999999997,
CNC,1404.0,20510.95,
CR-,214.0,1630.3299999999997,
D-0,0.0,0.0,
DEI,286.0,1957.91,
DW-,3685.0,41346.37999999999,
EVI,2211.0,38389.65,
FBU,0.0,0.0,
FTU,273.0,388.35999999999984,
GRN,58.0,874.4200000000001,
GSK,0.0,0.0,
GSP,4.0,142.14000000000001,
GUN,0.0,0.0,
GZP,473.0,184.47,
HY-,9456.0,32851.219999999994,
JCB,242.0,1630.65,
JCC,22.0,536.36,
JH-,1.0,14.38,
JHI,7903.0,85961.86000000003,
KGI,11618.0,20525.680000000004,
KI-,123.0,940.5999999999999,
KP-,701.0,16650.93,
LD-,0.0,0.0,
MEI,1867.0,21264.3,
MZ-,395.0,5747.25,
PEI,55.0,972.4,
PFI,6392.0,31290.030000000006,
POR,2104.0,21655.62,
RIZ,508.0,9015.4,
SK-,42.0,72.24000000000001,
SKT,14048.0,131056.8199999999,
SR-,-40.0,-268.98,
TKS,4699.0,7124.98,
TRI,2818.0,10074.07,
VTR,8.0,100.0,
VW-,17.0,139.39999999999998,
VWS,20.0,65.7,
