"Nompro","Fechfa","Cantid","Pcosto"
ARSEN INDUSTRIAL,2010-01-26 00:00:00.000,300.0,4.98
SKOPAR,2010-02-04 00:00:00.000,150.0,0.62
SKOPAR,2010-02-04 00:00:00.000,150.0,14.54
SKOPAR,2010-02-04 00:00:00.000,60.0,0.63
SKOPAR,2010-02-04 00:00:00.000,60.0,0.75
SKOPAR,2010-02-04 00:00:00.000,100.0,1.39
SKOPAR,2010-02-04 00:00:00.000,40.0,0.36
SKOPAR,2010-02-04 00:00:00.000,30.0,0.93
SKOPAR,2010-02-04 00:00:00.000,30.0,7.22
SKOPAR,2010-02-04 00:00:00.000,35.0,4.54
SKOPAR,2010-02-04 00:00:00.000,50.0,0.22
SKOPAR,2010-02-04 00:00:00.000,20.0,25.55
SKOPAR,2010-02-04 00:00:00.000,30.0,2.36
SKOPAR,2010-02-04 00:00:00.000,60.0,9.03
SKOPAR,2010-02-04 00:00:00.000,400.0,1.17
SKOPAR,2010-02-04 00:00:00.000,125.0,0.58
SKOPAR,2010-02-04 00:00:00.000,100.0,0.82
SKOPAR,2010-02-04 00:00:00.000,200.0,0.36
SKOPAR,2010-02-04 00:00:00.000,30.0,5.69
SKOPAR,2010-02-04 00:00:00.000,60.0,0.62
SKOPAR,2010-02-04 00:00:00.000,150.0,1.17
SKOPAR,2010-02-04 00:00:00.000,150.0,0.98
SKOPAR,2010-02-04 00:00:00.000,40.0,1.48
SKOPAR,2010-02-04 00:00:00.000,144.0,5.06
SKOPAR,2010-02-04 00:00:00.000,60.0,6.03
SKOPAR,2010-02-04 00:00:00.000,30.0,4.03
SKOPAR,2010-02-04 00:00:00.000,90.0,0.27
SKOPAR,2010-02-04 00:00:00.000,120.0,2.18
SKOPAR,2010-02-04 00:00:00.000,120.0,1.5
SKOPAR,2010-02-04 00:00:00.000,40.0,2.63
SKOPAR,2010-02-04 00:00:00.000,50.0,2.34
SKOPAR,2010-02-04 00:00:00.000,50.0,2.7
SKOPAR,2010-02-04 00:00:00.000,100.0,2.47
SKOPAR,2010-02-04 00:00:00.000,30.0,3.04
SKOPAR,2010-02-04 00:00:00.000,30.0,0.35
SKOPAR,2010-02-04 00:00:00.000,200.0,0.27
SKOPAR,2010-02-04 00:00:00.000,50.0,2.59
SKOPAR,2010-02-04 00:00:00.000,80.0,2.06
SKOPAR,2010-02-04 00:00:00.000,100.0,1.02
SKOPAR,2010-02-04 00:00:00.000,100.0,1.77
SKOPAR,2010-02-04 00:00:00.000,60.0,3.09
SKOPAR,2010-02-04 00:00:00.000,100.0,3.18
SKOPAR,2010-02-04 00:00:00.000,50.0,2.13
SKOPAR,2010-02-04 00:00:00.000,50.0,1.3
SKOPAR,2010-02-04 00:00:00.000,120.0,0.66
SKOPAR,2010-02-04 00:00:00.000,50.0,1.77
SKOPAR,2010-02-04 00:00:00.000,20.0,43.83
SKOPAR,2010-02-04 00:00:00.000,300.0,0.37
SKOPAR,2010-02-04 00:00:00.000,100.0,0.7
SKOPAR,2010-02-04 00:00:00.000,200.0,0.51
SKOPAR,2010-02-04 00:00:00.000,120.0,44.96
SKOPAR,2010-02-04 00:00:00.000,200.0,0.55
SKOPAR,2010-02-04 00:00:00.000,20.0,17.62
SKOPAR,2010-02-04 00:00:00.000,100.0,0.51
SKOPAR,2010-02-04 00:00:00.000,5.0,11.56
SKOPAR,2010-02-04 00:00:00.000,120.0,0.65
SKOPAR,2010-02-04 00:00:00.000,20.0,6.81
SKOPAR,2010-02-04 00:00:00.000,30.0,1.64
SKOPAR,2010-02-04 00:00:00.000,30.0,0.54
SKOPAR,2010-02-04 00:00:00.000,150.0,2.5
SKOPAR,2010-02-04 00:00:00.000,20.0,2.23
SKOPAR,2010-02-04 00:00:00.000,100.0,6.92
SKOPAR,2010-02-04 00:00:00.000,120.0,14.82
SKOPAR,2010-02-04 00:00:00.000,70.0,0.51
SKOPAR,2010-02-04 00:00:00.000,10.0,11.35
SKOPAR,2010-02-04 00:00:00.000,20.0,11.35
SKOPAR,2010-02-04 00:00:00.000,50.0,3.9
SKOPAR,2010-02-04 00:00:00.000,60.0,0.52
SKOPAR,2010-02-04 00:00:00.000,40.0,3.04
SKOPAR,2010-02-04 00:00:00.000,30.0,26.96
SKOPAR,2010-02-04 00:00:00.000,200.0,8.25
SKOPAR,2010-02-04 00:00:00.000,20.0,2.09
SKOPAR,2010-02-04 00:00:00.000,152.0,12.17
SKOPAR,2010-02-04 00:00:00.000,60.0,1.67
SKOPAR,2010-02-04 00:00:00.000,30.0,7.08
SKOPAR,2010-02-04 00:00:00.000,32.0,19.15
