"Codart","Nomart","Pcosto","Pventa","Exiact","Pricon","Segcon","Difer","Status","Sustiti","Observa","Procesado"
"2101-1011070",Sernidera bomba aceite,2.0,2.5,38.0,38.0,0.0,0.0,C,"2101-1011070","",S
"2101-1011228",Pi�on bomba aceite (fa),2.74,5.31,0.0,0.0,0.0,0.0,N,"2101-1011228",,N
"2101-1011228M",Pi�on bomba aceite (meg),2.0,3.2,0.0,0.0,0.0,0.0,N,"2101-1011228M",,N
"2101-1011235",Pi�on arbol de mando,8.93,14.290000000000001,0.0,0.0,0.0,0.0,N,"2101-1011235",,N
"2101-1011240",Buje arbol grande (fa),1.38,2.53,104.0,104.0,0.0,0.0,C,"2101-1011240","",S
"2101-1011241-01",Buje arbol peq. (fa),1.63,2.53,64.0,64.0,0.0,0.0,C,"2101-1011241-01","",S
"2101-1014056",Manguera desfogue aceite,1.19,1.9,0.0,0.0,0.0,0.0,N,"2101-1014056",,N
"2101-1101125",Boya tanque gasolina grande (fa),8.97,14.05,0.0,0.0,0.0,0.0,N,"2101-1101125",,N
"2101-1103010-10",Tapa gasolina con llave,4.24,7.22,0.0,0.0,0.0,0.0,N,"2101-1103010-10",,N
"2101-1103015",Tapa gasolina sin llave ,1.74,3.25,4.0,4.0,0.0,0.0,C,"2101-1103015","",S
"2101-1106010",Bomba gasolina sin funda,13.7,25.11,0.0,0.0,0.0,0.0,N,"2101-1106010",,N
"2101-1106010-1",Bomba gasolina (fa),13.7,25.11,9.0,0.0,0.0,0.0,N,"2101-1106010-1",da�adas 9,S
"2101-1106140",Membrana bomba gasolina (fa),2.46,3.93,0.0,0.0,0.0,0.0,N,"2101-1106140",,N
"2101-1106165",Placa bomba gasolina (fa),1.68,3.14,0.0,1.0,1.0,0.0,N,"2101-1106165","",S
"2101-1106166",Empujador bomba gasolina,0.45,0.72,0.0,0.0,0.0,0.0,N,"2101-1106166",,N
"2101-1107316-1",Ciclor 170,0.22,0.36,0.0,0.0,0.0,0.0,N,"2101-1107316-1",,N
"2101-1107367",Membrana carburador (fa),0.48,0.82,0.0,0.0,0.0,0.0,N,"2101-1107367",,N
"2101-1107385",Cuerpo surtidor,0.36,0.58,0.0,0.0,0.0,0.0,N,"2101-1107385",,N
����������,Platino cable rojo kw,1.88,3.0,0.0,18.0,0.0,0.0,N,,"",S
"000-100252299",Tuerca alternador,0.43,0.69,1.0,0.0,0.0,0.0,N,"000-100252299",,N
"0000-100254922",Tuerca cono peque�o,0.0,0.0,0.0,0.0,0.0,0.0,N,"0000-100254922",,N
"0000-1002574921",Tuerca del cono,0.68,1.14,81.0,81.0,0.0,0.0,C,"0000-1002574921","",S
"0000-1004044871",Tuerca punta eje izq. (fa),0.26,0.39,302.0,262.0,302.0,0.0,C,"0000-1004044871","",S
"0000-1004325301",Tapon carter,0.26,0.42,0.0,0.0,0.0,0.0,N,"0000-1004325301",,N
"0000-1005153580",Union varilla carburador,0.29,0.53,6.0,6.0,0.0,0.0,C,"0000-1005153580","",S
"0000-1009044171",Tuerca punta eje der. (fa),0.35,0.56,0.0,0.0,0.0,0.0,N,,,N
"0000-2008042320",Ruliman cardan,3.12,5.0,0.0,0.0,0.0,0.0,N,"0000-2008042320",,N
"2101-1000102-01",Chapa bancada std.,7.28,13.58,28.0,28.0,0.0,0.0,C,"2101-1000102-01","",S
"2101-1000102-11","Chapa bancada 0,25",7.28,13.58,0.0,0.0,0.0,0.0,N,"2101-1000102-11",,N
"2101-1000102-12","Chapa bancada 0,50",7.28,13.58,0.0,0.0,0.0,0.0,N,"2101-1000102-12",,N
"2101-1000102-13","Chapa bancada 0,75",7.28,13.58,0.0,0.0,0.0,0.0,N,"2101-1000102-13",,N
"2101-1000102-14","Chapa bancada 1,00",7.28,13.58,0.0,0.0,0.0,0.0,N,"2101-1000102-14",,N
"2101-1000104-01",Chapa biela std.,5.78,10.78,0.0,0.0,0.0,0.0,N,"2101-1000104-01",,N
"2101-1000104-11","Chapa biela 0,25",5.78,10.78,0.0,0.0,0.0,0.0,N,"2101-1000104-11",,N
"2101-1000104-12","Chapa biela 0,50",5.78,10.78,0.0,0.0,0.0,0.0,N,"2101-1000104-12",,N
"2101-1000104-13","Chapa biela 0,75",5.78,10.78,0.0,0.0,0.0,0.0,N,"2101-1000104-13",,N
"2101-1000104-14","Chapa biela 1,00",5.66,9.05,0.0,0.0,0.0,0.0,N,"2101-1000104-14",,N
"2101-1001020",Base motor (fa),2.17,3.48,0.0,0.0,0.0,0.0,N,"2101-1001020",,N
"2101-1001028",Resorte base motor (fa),0.88,1.4,0.0,0.0,0.0,0.0,N,"2101-1001028",,N
"2101-1001035",Caucho base motor (fa),0.62,0.79,169.0,69.0,169.0,0.0,C,"2101-1001035","",S
"2101-1001045",Base c/c 4 velocidades (fa),2.62,4.46,1.0,1.0,0.0,0.0,C,"2101-1001045","",S
"2101-1001100",Travesa�o c/c (fa),2.46,3.93,0.0,0.0,0.0,0.0,N,"2101-1001100",,N
"2101-1002064",Empaque tapa distribucion,0.77,1.23,0.0,0.0,0.0,0.0,N,"2101-1002064",,N
"2101-1003020",Empaque cabezote 1200,1.88,3.0,0.0,0.0,0.0,0.0,N,"2101-1003020",,N
"2101-1003260-10",Tapa/valvula (fa),15.08,27.64,0.0,1.0,0.0,0.0,N,"2101-1003260-10","",S
"2101-1003270",Empaque tapa valvula (fa),1.84,3.44,1.0,0.0,1.0,0.0,C,"2101-1003270","",S
"2101-1003270M",Empaque tapa valvula/meg,1.7,2.72,0.0,0.0,0.0,0.0,N,"2101-1003270M",,N
"2101-1004045",Biela (fa),17.54,32.73,1.0,1.0,0.0,0.0,C,"2101-1004045","",S
"2101-1004045M",Biela / meg,15.62,25.0,0.0,0.0,0.0,0.0,N,"2101-1004045M",,N
"2101-1005030",Pi�on cigue�al peq. (fa),6.52,11.96,123.0,123.0,0.0,0.0,C,"2101-1005030","",S
"2101-1005030M",Pi�on cigue�al peque�o/meg,5.56,8.9,0.0,0.0,0.0,0.0,N,"2101-1005030M",,N
"2101-1005034",Reten cigue�al dela. (fa),0.54,1.01,0.0,0.0,0.0,0.0,N,"2101-1005034",,N
"2101-1005054",Tuerca Cig�e�al,1.39,2.23,0.0,0.0,0.0,0.0,N,"2101-1005054",,N
"2101-1005060-01",Polea del cig�e�al,5.83,9.33,2.0,2.0,0.0,0.0,C,"2101-1005060-01","",S
"2101-1005115",Volante motor original,58.44,91.55,0.0,0.0,0.0,0.0,N,"2101-1005115",,N
"2101-1005115M",Volante motor/ meg,37.5,60.0,0.0,0.0,0.0,0.0,N,"2101-1005115M",,N
"2101-1005125",Cinta volante (fa),15.49,23.89,77.0,77.0,0.0,0.0,C,"2101-1005125","",S
"2101-1005160",Retenedor cigue�al post. (fa),0.58,1.09,0.0,0.0,0.0,0.0,N,"2101-1005160",,N
"2101-1005183",Medias lunas (fa),0.9,1.65,33.0,33.0,0.0,0.0,C,"2101-1005183","",S
"2101-1006010",Arbol levas (fa),44.4,82.88,0.0,0.0,0.0,0.0,N,"2101-1006010",,N
"2101-1006010M",Arbol levas / meg,35.96,57.53,0.0,0.0,0.0,0.0,N,"2101-1006010M",,N
"2101-1006020",Pi�on distribucion grande (fa),7.88,14.44,50.0,0.0,49.0,0.0,N,"2101-1006020",da�ado 1,S
"2101-1006022",Arandela seguro,0.16,0.25,124.0,124.0,0.0,0.0,C,"2101-1006022","",S
"2101-1006033",Soporte arbol levas (fa),24.6,42.85,11.0,11.0,0.0,0.0,C,"2101-1006033","",S
"2101-1006040",Cadena distribucion 1200,8.25,13.2,0.0,0.0,0.0,0.0,N,"2101-1006040",,N
"2101-1006041",Cadena distribucion 1600 italia,7.6,12.16,0.0,0.0,0.0,0.0,N,"2101-1006041",,N
"2101-1006050",Pasador tope,0.81,1.3,0.0,0.0,0.0,0.0,N,"2101-1006050",,N
"2101-1006060",Templador hidraulico (fa),10.88,19.94,1.0,0.0,0.0,0.0,N,"2101-1006060",,N
"2101-1006098",Perno templador cadena,0.92,1.47,0.0,0.0,0.0,0.0,N,"2101-1006098",,N
"2101-1007013",Jgo. valvula admision italia (negra),7.22,13.5,257.0,256.0,257.0,0.0,C,"2101-1007013","",S
"2101-1007014",Jgo. valvula escape italia (negra),4.92,13.5,265.0,267.0,265.0,0.0,C,"2101-1007014","",S
"2101-1007026-01",Jgo. caucho de valvula,1.88,3.0,0.0,0.0,0.0,0.0,N,"2101-1007026-01",,N
"2101-1007032-2",Guia valvula admision,3.66,5.8500000000000005,8.0,8.0,0.0,0.0,C,"2101-1007032-2","",S
"2101-1007032-9",Jgo. guia valvula admision / ranurada,3.12,5.0,0.0,0.0,0.0,0.0,N,,,N
"2101-1007033-2",Guia valvula escape,3.66,5.8500000000000005,1.0,1.0,0.0,0.0,C,,"",S
"2101-1007033-9",Jgo. guia valvula escape / ranurada,3.12,5.0,0.0,0.0,0.0,0.0,N,,,N
"2101-1007034-99",Jgo. guia valvula admicion/escape italia,5.19,17.0,0.0,0.0,0.0,0.0,N,"2101-1007034-99",,N
"2101-1007034M",Jgo. guia valvula adm. y esc. (meg),6.88,11.0,0.0,0.0,0.0,0.0,N,"2101-1007034M",,N
"2101-1007035-99",Jgo. guia valvula escape italia,3.84,10.15,0.0,0.0,0.0,0.0,N,"2101-1007035-99",,N
"2101-1007116",Balancin (fa),2.08,3.82,1.0,1.0,0.0,0.0,C,"2101-1007116","",S
"2101-1008081",Empaque multiple,0.61,0.98,0.0,0.0,0.0,0.0,N,"2101-1008081",,N
"2101-1009010",Carter motor,11.25,18.0,0.0,0.0,0.0,0.0,N,"2101-1009010",,N
"2101-1009050",Varilla medir aceite,1.03,1.6500000000000001,0.0,0.0,0.0,0.0,N,"2101-1009050",,N
"2101-1009055",Caucho varilla medir aceite,0.2,0.32,0.0,0.0,0.0,0.0,N,"2101-1009055",,N
"2101-1009070",Empaque carter (fa),2.45,3.83,44.0,44.0,0.0,0.0,C,"2101-1009070","",S
"2101-1009140",Caucho tapa aceite,0.14,0.23,9.0,9.0,0.0,0.0,C,"2101-1009140","",S
"2101-1009146",Tapa aceite ,1.16,1.99,0.0,0.0,0.0,0.0,N,"2101-1009146",,N
"2101-1011010",Bomba aceite (fa),25.06,47.46,36.0,36.0,0.0,0.0,C,"2101-1011010","",S
"2101-1011010-2",Bomba aceite sin funda,15.62,25.0,0.0,0.0,0.0,0.0,N,"2101-1011010-2",,N
"2101-1011040",Eje bomba aceite,2.27,3.63,0.0,0.0,0.0,0.0,N,"2101-1011040",,N
"2101-1107710",Filtro carburador,0.31,0.5,0.0,0.0,0.0,0.0,N,"2101-1107710",,N
"2101-1107730",Aguja flotador de la boya (fa),2.33,4.26,86.0,87.0,87.0,0.0,N,"2101-1107730","",S
"2101-1107740",Flotador boya carburador,0.69,1.1,0.0,0.0,0.0,0.0,N,"2101-1107740",,N
"2101-110798021",Kit reparacion carburador,4.71,7.54,0.0,0.0,0.0,0.0,N,"2101-110798021",,N
"2101-1107992-10",Jgo. resortes reparacion carburador,0.67,1.02,14.0,13.0,14.0,0.0,C,"2101-1107992-10","",S
"2101-1107992M",Kit reparacion carburador completo/meg,5.31,8.5,0.0,0.0,0.0,0.0,N,"2101-1107992M",,N
"2101-1108035-10",Varilla eje acelerador,0.2,0.32,0.0,0.0,0.0,0.0,N,"2101-1108035-10",,N
"2101-1108036",Resorte eje acelerador,1.06,1.7,0.0,0.0,0.0,0.0,N,"2101-1108036",,N
"2101-1108039",Soporte eje acelerador (fa),0.29,0.48,0.0,0.0,0.0,0.0,N,"2101-1108039",,N
"2101-1108041",Seguro eje acelerador,0.21,0.33,0.0,0.0,0.0,0.0,N,"2101-1108041",,N
"2101-1108041-2",Seguro eje acelerador con varilla,0.3,0.48,0.0,0.0,0.0,0.0,N,"2101-1108041-2",,N
