"Nomram","Totr"
Accidentes Personales,728.2319999999999
Buen Uso de Anticipo,37437.91680000002
Buena Calidad de Materiales y Ejecuci�n ,4103.5615
Cumplimiento de Contrato,5457.425600000001
Equipo Electr�nico,272.2785
Equipo y Maquinaria de Contratistas,494.1975
Garant�a Aduanera,188.7344
Incendio y/o L�neas Aliadas,669.35165
Responsabilidad Civil,201.0
Robo y/o Asalto,66.07649999999998
Rotura de Maquinaria,88.797
Seriedad de Oferta,29.0416
Soat,12.264999999999997
Todo Riesgo para Contratistas,4052.7209999999995
Transporte,460.0432
Veh�culos,15242.792100000002
