"idereg","tiptran","fechfa","codart","nomart","codori","numnot","cantid","pcosto","pventa","can_ven","cos_ven","venta"
"1",CL,2009-05-04 00:00:00.000,DW-025,Radiador lanos I-II/03 (sin aire) / hcc,6,46.0,10,41.23,115.89,0.0,0.0,10.0
"1",CL,2009-05-04 00:00:00.000,DW-059,Radiador racer cielo / hcc,6,46.0,40,42.31,111.92,0.0,0.0,10.0
"1",CL,2009-05-04 00:00:00.000,DW-069,"Radiador aveo, chevitaxi 1.5 hcc",6,46.0,10,39.91,101.77,0.0,0.0,10.0
"1",CL,2009-05-04 00:00:00.000,HY-004,Filtro aire verna/04 atoz/03 onnuri,6,46.0,100,1.31,3.9,0.0,0.0,100.0
"1",CL,2009-05-04 00:00:00.000,HY-053,Bomba gasolina exc/94-ela/93 mobis,6,46.0,20,17.07,43.53,0.0,0.0,20.0
"1",CL,2009-05-04 00:00:00.000,HY-054,Manzana rda. dela. ver/04 ato/03 alterna,6,46.0,10,12.09,66.83,0.0,0.0,10.0
"1",CL,2009-05-04 00:00:00.000,HY-061,Terminal barra est. der. ver/04 mobis,6,46.0,150,4.87,12.81,0.0,0.0,150.0
"1",CL,2009-05-04 00:00:00.000,HY-063,Terminal barra est. izq. ver/04 mobis,6,46.0,200,4.87,12.81,0.0,0.0,200.0
"1",CL,2009-05-04 00:00:00.000,HY-066,Radiador verna 04 peq./ hcc,6,46.0,80,26.96,75.73,0.0,0.0,88.0
"1",CL,2009-05-04 00:00:00.000,HY-068,Base motor dela. verna 2003/1.6 mobis,6,46.0,50,7.94,21.4,0.0,0.0,37.0
"1",CL,2009-05-04 00:00:00.000,HY-077,Malla bomba gasolina verna mobis,6,46.0,534,1.44,3.67,0.0,0.0,561.0
"1",CL,2009-05-04 00:00:00.000,HY-092,Banda dist. 101 dtes atos mobis,6,46.0,100,9.64,26.27,0.0,0.0,54.0
"1",CL,2009-05-04 00:00:00.000,HY-097,Radiador verna grande mobis,6,46.0,5,62.73,159.96,0.0,0.0,7.0
"1",CL,2009-05-04 00:00:00.000,HY-103,Ruliman embrague atos mobis,6,46.0,28,7.45,19.0,0.0,0.0,21.0
"1",CL,2009-05-04 00:00:00.000,HY-107,Rotula suspension accent  mobis,6,46.0,70,5.63,14.36,0.0,0.0,0.0
"1",CL,2009-05-04 00:00:00.000,HY-109,Base amortiguador dela. accent verna/mobis,6,46.0,200,7.61,20.04,0.0,0.0,200.0
"1",CL,2009-05-04 00:00:00.000,HY-110,Buje mesa dela. izq. caucho accent 95/99/onnuri,6,46.0,100,1.43,3.65,0.0,0.0,36.0
"1",CL,2009-05-04 00:00:00.000,HY-112,Buje plato suspension atos mobis,6,46.0,41,1.85,4.72,0.0,0.0,47.0
"1",CL,2009-05-04 00:00:00.000,HY-118,Bocin caja direccion accent alto/ mobis,6,46.0,5,1.68,4.63,0.0,0.0,5.0
"1",CL,2009-05-04 00:00:00.000,HY-123,Valvula admision verna mobis,6,46.0,1033,1.85,4.72,0.0,0.0,1164.0
"1",CL,2009-05-04 00:00:00.000,HY-124,Valvula escape verna mobis,6,46.0,949,2.2,5.61,0.0,0.0,832.0
"1",CL,2009-05-04 00:00:00.000,HY-126,Caucho barra estab. post. verna/mobis,6,46.0,768,0.47,1.2,0.0,0.0,348.0
"1",CL,2009-05-04 00:00:00.000,HY-127,Enganche barra estab. post. verna/mobis,6,46.0,100,2.43,6.71,0.0,0.0,195.0
"1",CL,2009-05-04 00:00:00.000,HY-132,Reten semi eje excel/alterno pos,6,46.0,599,0.72,1.84,0.0,0.0,0.0
"1",CL,2009-05-04 00:00:00.000,HY-159,Barra limpiaparabrisas accent verna/mobis,6,46.0,199,5.29,13.49,0.0,0.0,30.0
"1",CL,2009-05-04 00:00:00.000,HY-164,Cable embrague excel/mobis,6,46.0,18,4.18,10.66,0.0,0.0,18.0
"1",CL,2009-05-04 00:00:00.000,HY-170,Articulaci�n verna 99-05/mobis,6,46.0,60,4.87,12.62,0.0,0.0,70.0
"1",CL,2009-05-04 00:00:00.000,HY-173,Base motor posterior verna 1.6 /mobis,6,46.0,20,7.2,18.42,0.0,0.0,27.0
"1",CL,2009-05-04 00:00:00.000,HY-174,V�lvula escape accent 1.5/mobis,6,46.0,376,2.37,6.04,0.0,0.0,258.0
"1",CL,2009-05-04 00:00:00.000,HY-178,Tapa radiador verna/mobis,6,46.0,419,2.35,5.99,0.0,0.0,429.0
"1",CL,2009-05-04 00:00:00.000,HY-180,Trompo retro verna/mobis,6,46.0,200,3.05,8.43,0.0,0.0,205.0
"1",CL,2009-05-04 00:00:00.000,HY-188,Buje mesa suspensi�n grande.dela.verna/mobis,6,46.0,763,1.94,4.95,0.0,0.0,763.0
"1",CL,2009-05-04 00:00:00.000,HY-195,Ret�n cigue�al post. accent verna/mobis,6,46.0,652,4.03,10.28,0.0,0.0,269.0
