"idereg","tiptran","fechfa","codart","nomart","codori","numnot","cantid","pcosto","pventa","can_ven","cos_ven","venta"
"1",CL,2010-07-30 00:00:00.000,AV-079,"Terminal direccion izq. aveo, chevitaxi /ctr",6,90.0,100,3.27,10.46,0.0,0.0,0.0
"1",CL,2010-07-30 00:00:00.000,AV-080,Cilindro principal embrague lanos/tcic,6,90.0,40,6.39,20.45,0.0,0.0,12.0
"1",CL,2010-07-30 00:00:00.000,AV-081,"Disco embrague aveo,chevitaxi/valeo",6,90.0,19,16.62,53.18,0.0,0.0,2.0
"1",CL,2010-07-30 00:00:00.000,AV-082,Empaque cabezote aveo metal/onnuri,6,90.0,2000,7.61,24.35,0.0,0.0,43.0
"1",CL,2010-07-30 00:00:00.000,AV-083,Disco freno ventilado aveo/valeo,6,90.0,12,10.58,33.86,0.0,0.0,12.0
"1",CL,2010-07-30 00:00:00.000,AV-084,Disco freno ventilado aveo/kgc,6,90.0,50,12.52,40.06,0.0,0.0,0.0
"1",CL,2010-07-30 00:00:00.000,DW-015,Ruliman embrague mat I-II/04 tico/00 valeo,6,90.0,150,7.06,22.59,0.0,0.0,0.0
"1",CL,2010-07-30 00:00:00.000,DW-016,Ruliman embra. lan I-II cie-esp96 rac94 /hsc,6,90.0,100,5.11,16.35,0.0,0.0,12.0
"1",CL,2010-07-30 00:00:00.000,DW-030,Swich parqueo lanos gm,6,90.0,6,3.35,10.72,0.0,0.0,5.0
"1",CL,2010-07-30 00:00:00.000,DW-036,Pi�on cigue�al peq. daewoo racer gm,6,90.0,60,2.15,6.88,0.0,0.0,60.0
"1",CL,2010-07-30 00:00:00.000,DW-040,Sellos valvula cielo racer gm,6,90.0,110,0.48,1.54,0.0,0.0,109.0
"1",CL,2010-07-30 00:00:00.000,DW-041,Sellos valvula cielo racer /alterno,6,90.0,150,0.2,0.64,0.0,0.0,150.0
"1",CL,2010-07-30 00:00:00.000,DW-050,"Tubo distribuidor agua racer, cielo (fino) /gm",6,90.0,103,3.7,11.84,0.0,0.0,5.0
"1",CL,2010-07-30 00:00:00.000,DW-051,Ret�n cig�e�al post. lanos racer alterno /pos,6,90.0,101,1.04,3.33,0.0,0.0,50.0
"1",CL,2010-07-30 00:00:00.000,DW-053,Ret�n �rbol levas lanos racer / alterno kos,6,90.0,150,0.87,2.78,0.0,0.0,21.0
"1",CL,2010-07-30 00:00:00.000,DW-062,Contacto swich lanos / gm,6,90.0,5,4.67,14.94,0.0,0.0,15.0
"1",CL,2010-07-30 00:00:00.000,DW-064,Valvula escape lanos / gm,6,90.0,112,3.0,9.6,0.0,0.0,32.0
"1",CL,2010-07-30 00:00:00.000,DW-065,V�lvula admisi�n lanos / gm,6,90.0,60,2.51,8.03,0.0,0.0,32.0
