"idereg","tiptran","fechfa","codart","nomart","codori","cantid","pcosto","pventa","can_ven","cos_ven","venta"
"1",VE,2010-07-12 00:00:00.000,DW-035,Cable embrague matiz/OEM,6,5,5.28,11.26,0.0,0.0,0.0
"1",VE,2010-07-12 00:00:00.000,DW-037,"Elevador hidra�lico racer,cielo,lanos/x2",6,8,5.01,10.69,0.0,0.0,0.0
"1",VE,2010-07-12 00:00:00.000,DW-066,Trompo retro daewoo matiz / gm,6,2,3.42,7.3,0.0,0.0,0.0
"1",VE,2010-07-12 00:00:00.000,HY-085,Ruliman rueda dela. verna mobis,6,6,23.44,49.98,0.0,0.0,0.0
"1",VE,2010-07-12 00:00:00.000,HY-230,"Sensor velocidad isc verna,matrix, rio /mobis",6,1,31.38,66.94,0.0,0.0,0.0
"1",VE,2010-07-12 00:00:00.000,HY-232,Horquilla embrague new accent verna 06/mobis,6,1,4.12,6.66,0.0,0.0,0.0
"1",VE,2010-07-12 00:00:00.000,HY-236,Base palanca cambio atoz/mobis,6,20,2.72,4.16,0.0,0.0,0.0
"1",VE,2010-07-12 00:00:00.000,HY-302,"Terminal estab.der. new accent, mobis",6,5,6.7,14.3,0.0,0.0,0.0
"1",VE,2010-07-12 00:00:00.000,KI-031,Templador aux. pupo stylus kia rio gmb,6,4,6.62,14.11,0.0,0.0,0.0
"1",VE,2010-07-12 00:00:00.000,KI-060,Filtro gasolina kia rio onnuri,6,5,2.78,5.92,0.0,0.0,0.0
"1",VE,2010-07-12 00:00:00.000,KI-060,Filtro gasolina kia rio onnuri,6,6,2.78,5.92,0.0,0.0,0.0
"1",VE,2010-07-13 00:00:00.000,HY-023,Amortiguador post. izq. verna/04 mobis,6,1,35.56,73.5,0.0,0.0,0.0
"1",VE,2010-07-13 00:00:00.000,HY-025,Amortiguador post. der. verna/04 mobis,6,1,35.56,73.5,0.0,0.0,0.0
"1",VE,2010-07-13 00:00:00.000,HY-049,Jgo. cable bujias verna /04 mobis,6,6,24.25,51.65,0.0,0.0,0.0
"1",VE,2010-07-13 00:00:00.000,HY-189,Sello v�lvula atos/mobis,6,24,0.42,0.65,0.0,0.0,0.0
"1",VE,2010-07-13 00:00:00.000,HY-236,Base palanca cambio atoz/mobis,6,4,2.72,4.16,0.0,0.0,0.0
"1",VE,2010-07-14 00:00:00.000,HY-073,Filtro aire atos onnuri,6,5,1.82,3.87,0.0,0.0,0.0
"1",VE,2010-07-14 00:00:00.000,HY-095,Manija puerta interior izq. accent 99 mobis,6,5,1.47,2.5,0.0,0.0,0.0
"1",VE,2010-07-14 00:00:00.000,HY-122,Caucho barra estab. dela. verna/mobis,6,15,1.58,2.45,0.0,0.0,0.0
"1",VE,2010-07-14 00:00:00.000,HY-232,Horquilla embrague new accent verna 06/mobis,6,5,4.12,6.66,0.0,0.0,0.0
"1",VE,2010-07-14 00:00:00.000,KI-043,Cable embrague kia picanto/mobis,6,9,6.97,10.28,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,DW-002,Filtro aire lanos I-II /03 onnuri,6,2,1.95,4.16,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,DW-032,Filtro aire daewoo cielo mpi onnuri,6,2,1.95,4.16,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,DW-051,Ret�n cig�e�al post. lanos racer alterno /pos,6,10,1.57,3.33,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,DW-063,"Manzana rda. dela. racer,cielo,lanos/ x2hub",6,10,8.2,17.5,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,DW-066,Trompo retro daewoo matiz / gm,6,2,3.42,7.3,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,HY-021,Amortiguador dela. izq. verna/04 mando,6,2,33.08,68.36,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,HY-022,Amortiguador dela. der. verna/04 mando,6,2,33.08,68.36,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,HY-073,Filtro aire atos onnuri,6,1,1.82,3.87,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,HY-089,Banda aire acondicionado verna mobis,6,4,11.54,13.17,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,HY-122,Caucho barra estab. dela. verna/mobis,6,50,1.58,2.45,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,HY-127,Enganche barra estab. post. verna/mobis,6,12,3.23,6.78,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,HY-174,V�lvula escape accent 1.5/mobis,6,12,3.35,6.98,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,HY-183,Manija interior abre pta. izq.verna 03/mobis,6,10,3.55,5.83,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,HY-207,Pi��n cigue�al verna/mobis,6,4,2.44,5.22,0.0,0.0,0.0
"1",VE,2010-07-16 00:00:00.000,HY-232,Horquilla embrague new accent verna 06/mobis,6,6,4.12,6.66,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,DW-035,Cable embrague matiz/OEM,6,3,5.28,11.26,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,DW-063,"Manzana rda. dela. racer,cielo,lanos/ x2hub",6,2,8.2,17.5,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-045,Templador banda dist. ver/04 acc94-99 mobis,6,70,9.4,23.6,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-047,Templador red. dist. ver04 acc94-99 mobis,6,70,9.74,26.0,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-107,"Rotula suspension accent,verna/  mobis",6,2,6.95,16.99,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-123,Valvula admision verna mobis,6,120,2.44,6.15,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-124,Valvula escape verna mobis,6,80,3.03,8.8,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-127,Enganche barra estab. post. verna/mobis,6,4,3.23,6.78,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-156,Sensor temperatura accent/mobis,6,1,3.93,8.29,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-183,Manija interior abre pta. izq.verna 03/mobis,6,3,3.55,5.83,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-185,Rulim�n rueda delantera verna/alterno,6,2,9.8,13.41,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-220,Jgo. cable buj�as atoz pride2000/mobis,6,4,16.08,24.81,0.0,0.0,0.0
"1",VE,2010-08-11 00:00:00.000,HY-222,Sensor flujo aire accet/mobis,6,1,173.25,282.98,0.0,0.0,0.0
