"tipo","codcli","nomcli","docum","Total","valpag","Saldo","FecEmi","Dias_Plazo","FecVen","FecPag","dias"
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,7453.0,914.93,914.93,0.0,2009-03-04 00:00:00.000,30,2009-04-03 00:00:00.000,2009-07-30 00:00:00.000,118.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,7664.0,89.85999999999999,89.86,-0.0000000000000142,2009-03-18 00:00:00.000,30,2009-04-17 00:00:00.000,2009-07-30 00:00:00.000,104.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,8369.0,166.66000000000003,166.66,0.0000000000000284,2009-04-24 00:00:00.000,30,2009-05-24 00:00:00.000,2009-08-20 00:00:00.000,88.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,8370.0,26.23,26.23,0.0,2009-04-24 00:00:00.000,30,2009-05-24 00:00:00.000,2009-08-20 00:00:00.000,88.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,8965.0,45.02,45.02,0.0,2009-05-26 00:00:00.000,30,2009-06-25 00:00:00.000,2009-10-24 00:00:00.000,121.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,909890.0,937.44,937.44,0.0,2009-08-03 00:00:00.000,30,2009-09-02 00:00:00.000,2009-10-24 00:00:00.000,52.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,910052.0,190.01000000000005,190.01,0.0000000000000568,2009-08-20 00:00:00.000,30,2009-09-19 00:00:00.000,2009-10-29 00:00:00.000,40.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,910823.0,176.62,176.62,0.0,2009-10-26 00:00:00.000,30,2009-11-25 00:00:00.000,2009-11-28 00:00:00.000,3.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,910881.0,73.57,73.57,0.0,2009-11-04 00:00:00.000,30,2009-12-04 00:00:00.000,2010-02-17 00:00:00.000,75.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,912216.0,2600.21,3978.8599999999997,-1378.6499999999996,2010-03-02 00:00:00.000,30,2010-04-01 00:00:00.000,2010-05-21 00:00:00.000,50.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,912217.0,2342.47,2342.47,0.0,2010-03-02 00:00:00.000,30,2010-04-01 00:00:00.000,2010-07-04 00:00:00.000,94.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,912339.0,141.66,141.66,0.0,2010-03-05 00:00:00.000,30,2010-04-04 00:00:00.000,2010-07-09 00:00:00.000,96.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,912399.0,810.4300000000001,0.0,810.4300000000001,2010-03-15 00:00:00.000,30,2010-04-14 00:00:00.000,,290.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,913279.0,1883.41,1160.0,723.4100000000001,2010-05-13 00:00:00.000,30,2010-06-12 00:00:00.000,2010-10-29 00:00:00.000,139.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,913316.0,52.98,0.0,52.98,2010-05-17 00:00:00.000,30,2010-06-16 00:00:00.000,,227.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,913386.0,540.29,360.0,180.28999999999996,2010-05-21 00:00:00.000,30,2010-06-20 00:00:00.000,2010-11-12 00:00:00.000,145.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,913718.0,247.90999999999997,0.0,247.90999999999997,2010-06-21 00:00:00.000,30,2010-07-21 00:00:00.000,,192.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,913817.0,143.43,111.19,32.24000000000001,2010-06-28 00:00:00.000,30,2010-07-28 00:00:00.000,2010-11-12 00:00:00.000,107.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,914174.0,565.4,0.0,565.4,2010-09-03 00:00:00.000,30,2010-10-03 00:00:00.000,,118.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,915640.0,558.8,0.0,558.8,2010-10-27 00:00:00.000,30,2010-11-26 00:00:00.000,,64.0
FT,180.0,Abtolada Rodrigo Espinosa Cia. Ltda.,916703.0,651.3499999999999,0.0,651.3499999999999,2011-01-18 00:00:00.000,30,2011-02-17 00:00:00.000,,-19.0
