"codcli","valor"
0.0,234965.35
7.0,750.0
8.0,500.0
35.0,1381.0
53.0,710.0
58.0,1180.0
163.0,400.0
174.0,0.0
175.0,1308.0
185.0,1800.0
186.0,1000.0
202.0,0.0
203.0,530.0
209.0,200.0
222.0,400.0
229.0,230.0
233.0,1000.0
245.0,463.0
290.0,3020.0
330.0,1000.0
336.0,220.0
345.0,980.0
349.0,1200.0
352.0,450.0
359.0,960.0
372.0,100.0
377.0,2260.0
392.0,150.0
394.0,780.0
395.0,400.0
409.0,1960.0
428.0,500.0
430.0,2000.0
433.0,600.0
460.0,400.0
472.0,607.0
474.0,100.0
486.0,700.0
526.0,6100.0
561.0,200.0
588.0,168.0
591.0,550.0
597.0,1000.0
599.0,1460.0
624.0,160.0
633.0,1172.0
638.0,425.0
648.0,100.0
665.0,500.0
671.0,1000.0
747.0,600.0
824.0,1000.0
837.0,1180.0
844.0,200.0
859.0,435.0
861.0,800.0
866.0,880.0
886.0,1300.0
890.0,1320.0
892.0,1100.0
903.0,200.0
904.0,900.0
911.0,260.0
917.0,1360.0
921.0,4280.0
937.0,980.0
950.0,2460.0
976.0,790.0
996.0,500.0
1018.0,533.0
1026.0,880.0
1074.0,1520.0
1077.0,1300.0
1084.0,500.0
1102.0,100.0
1106.0,250.0
1108.0,500.0
1126.0,1280.0
1134.0,960.0
1144.0,400.0
1147.0,150.0
1156.0,1500.0
1164.0,460.0
1177.0,200.0
1186.0,780.0
1193.0,330.0
1197.0,220.0
1201.0,1628.0
1206.0,550.0
1214.0,800.0
1223.0,180.0
1224.0,1000.0
1243.0,1100.0
1255.0,750.0
1301.0,780.0
1331.0,500.0
1346.0,500.0
1358.0,300.0
1377.0,830.0
1397.0,860.0
1407.0,900.0
1447.0,800.0
1493.0,500.0
1497.0,500.0
1508.0,680.0
1559.0,600.0
1587.0,1000.0
1607.0,800.0
1638.0,512.8
1641.0,500.0
1680.0,900.0
1695.0,400.0
1697.0,800.0
1698.0,800.0
1721.0,400.0
1738.0,1200.0
1749.0,1260.0
1771.0,2000.0
1801.0,450.0
1804.0,1000.0
1846.0,420.0
1854.0,800.0
1933.0,250.0
1936.0,600.0
1954.0,2980.0
1957.0,700.0
1993.0,364.0
2010.0,700.0
2026.0,600.0
2039.0,400.0
2068.0,150.0
2096.0,1330.0
2110.0,800.0
2111.0,900.0
2115.0,200.0
2148.0,550.0
2169.0,950.0
2184.0,300.0
2188.0,700.0
2195.0,1000.0
2200.0,500.0
2202.0,400.0
2204.0,100.0
2235.0,170.0
2260.0,1000.0
2276.0,400.0
2283.0,400.0
2286.0,800.0
2296.0,980.0
2366.0,2560.0
2395.0,400.0
2419.0,500.0
2423.0,1560.0
2468.0,1580.0
2469.0,500.0
2475.0,600.0
2505.0,200.0
2528.0,250.0
2547.0,400.0
2560.0,350.0
2562.0,600.0
2565.0,380.0
2566.0,700.0
2579.0,1500.0
2601.0,1300.0
2618.0,500.0
2657.0,2400.0
2681.0,2460.0
2718.0,700.0
2723.0,600.0
2748.0,1480.0
2751.0,900.0
2761.0,600.0
2816.0,600.0
2825.0,790.0
2826.0,4520.0
2834.0,600.0
2844.0,450.0
2853.0,950.0
2878.0,500.0
2940.0,420.0
2991.0,1400.0
3001.0,100.0
3020.0,300.0
3037.0,100.0
3038.0,730.0
3042.0,1060.0
3046.0,1000.0
3048.0,1500.0
3050.0,2100.0
3053.0,750.0
3055.0,820.0
3079.0,550.0
3104.0,1450.0
3151.0,1830.0
3152.0,300.0
3192.0,150.0
3208.0,500.0
3217.0,300.0
3243.0,300.0
3245.0,900.0
3246.0,900.0
3272.0,1350.0
3286.0,2740.0
3313.0,300.0
3316.0,800.0
3321.0,200.0
3359.0,880.0
3381.0,1380.0
3391.0,350.0
3398.0,1000.0
3441.0,1100.0
3445.0,1200.0
3456.0,1400.0
3463.0,1000.0
3464.0,500.0
3472.0,130.0
3488.0,800.0
